PLYNO,DEPOSIT_SEQ,DEPOSIT_DATE,PRINCIPAL,FACTOR,BALANCE,STEP1_END_DATE,DED_AMT
282120090000067,76,2015-04-01,136839.0,1.1099374887124684,151882.73601792546,2019-01-01,68571.42857142857
282120090000067,77,2015-05-01,136839.0,1.1069097120237243,151468.4180836144,2019-01-01,60000.0
282120090000067,78,2015-06-01,136839.0,1.103874433125457,151053.07355445443,2019-01-01,51428.57142857143
282120090000067,79,2015-07-01,136839.0,1.1010270724679292,150663.44356943897,2019-01-01,42857.142857142855
282120090000067,80,2015-08-01,136839.0,1.0981755320738575,150273.2416334546,2019-01-01,34285.71428571428
282120090000067,81,2015-09-01,136839.0,1.0953705688929352,149889.41327674035,2019-01-01,25714.285714285714
282120090000067,82,2015-10-01,136839.0,1.0927023428809028,149524.29589747987,2019-01-01,17142.85714285714
282120090000067,83,2015-11-01,136839.0,1.09003302825607,149159.02955353237,2019-01-01,8571.42857142857
282120090000067,84,2015-12-01,136839.0,1.0874533084464022,148806.02327449722,2019-01-01,0.0
282120090000067,85,2016-01-01,136839.0,1.0848746419825823,148453.1611342546,2019-01-01,0.0
282120090000067,86,2016-02-01,136839.0,1.0823639975440715,148109.60705993322,2019-01-01,0.0
282120090000067,87,2016-03-01,136839.0,1.0800964934075343,147799.3240613936,2019-01-01,0.0
282120090000067,88,2016-04-01,136839.0,1.0776306517551373,147461.90075552123,2019-01-01,0.0
282120090000067,89,2016-05-01,136839.0,1.0752443533818494,147135.36207241888,2019-01-01,0.0
282120090000067,90,2016-06-01,136839.0,1.0727785117294524,146797.93876654655,2019-01-01,0.0
282120090000067,91,2016-07-01,136839.0,1.0703922133561645,146471.4000834442,2019-01-01,0.0
282120090000067,92,2016-08-01,136839.0,1.0679263717037675,146133.97677757184,2019-01-01,0.0
282120090000067,93,2016-09-01,136839.0,1.06546053005137,145796.55347169942,2019-01-01,0.0
282120090000067,94,2016-10-01,136839.0,1.0630742316780823,145470.01478859712,2019-01-01,0.0
282120090000067,95,2016-11-01,136839.0,1.060608390025685,145132.59148272473,2019-01-01,0.0
282120090000067,96,2016-12-01,136839.0,1.0582220916523974,144806.0527996224,2019-01-01,0.0
282120090000067,97,2017-01-01,136839.0,1.0557562500000002,144468.62949375002,2019-01-01,0.0
282120090000067,98,2017-02-01,136839.0,1.053356404109589,144140.23698195207,2019-01-01,0.0
282120090000067,99,2017-03-01,136839.0,1.0511888013698631,143843.62439065072,2019-01-01,0.0
282120090000067,100,2017-04-01,136839.0,1.0487889554794523,143515.23187885276,2019-01-01,0.0
282120090000067,101,2017-05-01,136839.0,1.0464665239726028,143197.432673887,2019-01-01,0.0
282120090000067,102,2017-06-01,136839.0,1.044066678082192,142869.04016208905,2019-01-01,0.0
282120090000067,103,2017-07-01,136839.0,1.0417442465753426,142551.24095712331,2019-01-01,0.0
282120090000067,104,2017-08-01,136839.0,1.0393444006849317,142222.84844532536,2019-01-01,0.0
282120090000067,105,2017-09-01,136839.0,1.0369445547945206,141894.4559335274,2019-01-01,0.0
282120090000067,106,2017-10-01,136839.0,1.0346221232876713,141576.65672856165,2019-01-01,0.0
282120090000067,107,2017-11-01,136839.0,1.0322222773972602,141248.2642167637,2019-01-01,0.0
282120090000067,108,2017-12-01,136839.0,1.029899845890411,140930.46501179793,2019-01-01,0.0
282120090000067,109,2018-01-01,136839.0,1.0275,140602.0725,2019-01-01,0.0
282120090000067,110,2018-02-01,136839.0,1.0251643835616437,140282.46908219176,2019-01-01,0.0
282120090000067,111,2018-03-01,136839.0,1.023054794520548,139993.79502739725,2019-01-01,0.0
282120090000067,112,2018-04-01,136839.0,1.0207191780821918,139674.19160958903,2019-01-01,0.0
282120090000067,113,2018-05-01,136839.0,1.018458904109589,139364.89797945207,2019-01-01,0.0
282120090000067,114,2018-06-01,136839.0,1.016123287671233,139045.29456164385,2019-01-01,0.0
282120090000067,115,2018-07-01,136839.0,1.0138630136986302,138736.00093150686,2019-01-01,0.0
282120090000067,116,2018-08-01,136839.0,1.011527397260274,138416.39751369864,2019-01-01,0.0
282120090000067,117,2018-09-01,136839.0,1.0091917808219177,138096.7940958904,2019-01-01,0.0
282120090000067,118,2018-10-01,136839.0,1.006931506849315,137787.5004657534,2019-01-01,0.0
282120090000067,119,2018-11-01,136839.0,1.0045958904109589,137467.8970479452,2019-01-01,0.0
282120090000067,120,2018-12-01,136839.0,1.0023356164383561,137158.60341780822,2019-01-01,0.0
282120090000066,1,2024-10-05,136839.0,1.0275,140602.0725,2025-10-05,705000.0
