PLYNO,FROM_DATE,TO_DATE,BEGIN_BAL,ANNUAL_EXP,MONTHLY_EXP,INTEREST,END_BAL,FACTOR
282120090000064,2021-07-05,2021-08-05,1.9720203816595342E7,19720.20381659534,0.0,328161.4804539583,2.0028645093232702E7,1.0166575342465753
282120090000064,2021-08-05,2021-09-05,1.9720203816595342E7,19720.20381659534,0.0,361625.31563182996,2.0062108928410575E7,1.0183561643835617
282120090000064,2021-09-05,2021-10-05,1.9720203816595342E7,19720.20381659534,0.0,394009.67225557525,2.009449328503432E7,1.02
282120090000064,2021-10-05,2021-11-05,2.009449328503432E7,20094.49328503432,0.0,34098.97876954762,2.0108497770518836E7,1.0016986301369863
282120090000064,2021-11-05,2021-12-05,2.009449328503432E7,20094.49328503432,0.0,67097.99048201162,2.0141496782231297E7,1.0033424657534247
282120090000064,2021-12-05,2022-01-05,2.009449328503432E7,20094.49328503432,0.0,101196.96925155925,2.0175595761000846E7,1.005041095890411
282120090000064,2022-01-05,2022-02-05,2.009449328503432E7,20094.49328503432,0.0,135295.94802110686,2.0209694739770394E7,1.0067397260273974
282120090000064,2022-02-05,2022-03-05,2.009449328503432E7,20094.49328503432,0.0,166095.02561940363,2.024049381736869E7,1.0082739726027397
282120090000064,2022-03-05,2022-04-05,2.009449328503432E7,20094.49328503432,0.0,200194.00438895123,2.027459279613824E7,1.009972602739726
282120090000064,2022-04-05,2022-05-05,2.009449328503432E7,20094.49328503432,0.0,233193.01610141524,2.0307591807850704E7,1.0116164383561643
282120090000064,2022-05-05,2022-06-05,2.009449328503432E7,20094.49328503432,0.0,267401.9915766703,2.034180078332596E7,1.0133205479452054
282120090000064,2022-06-05,2022-07-05,2.009449328503432E7,20094.49328503432,0.0,301418.47281693737,2.0375817264566224E7,1.0150150684931507
282120090000064,2022-07-05,2022-08-05,2.009449328503432E7,20094.49328503432,0.0,338938.3491340087,2.0413337140883297E7,1.016884109589041
282120090000064,2022-08-05,2022-09-05,2.009449328503432E7,20094.49328503432,0.0,379422.63666991686,2.0453821428419203E7,1.0189008219178082
282120090000064,2022-09-05,2022-10-05,2.009449328503432E7,20094.49328503432,0.0,420176.416134811,2.04945752078841E7,1.0209309589041096
282120090000064,2022-10-05,2022-11-05,2.04945752078841E7,20494.5752078841,0.0,45306.61623839206,2.0519387248914607E7,1.0022128767123288
282120090000064,2022-11-05,2022-12-05,2.04945752078841E7,20494.5752078841,0.0,92789.65529471867,2.0566870287970934E7,1.0045320547945205
282120090000064,2022-12-05,2023-01-05,2.04945752078841E7,20494.5752078841,0.0,144945.2722050288,2.0619025904881243E7,1.0070794520547945
282120090000064,2023-01-05,2023-02-05,2.04945752078841E7,20494.5752078841,0.0,198598.58213696015,2.0672679214813173E7,1.0097
282120090000064,2023-02-05,2023-03-05,2.04945752078841E7,20494.5752078841,0.0,245509.46880300398,2.0719590101479217E7,1.0119912328767122
282120090000064,2023-03-05,2023-04-05,2.04945752078841E7,20494.5752078841,0.0,295393.3041636627,2.076947393683988E7,1.0144276712328768
282120090000064,2023-04-05,2023-05-05,2.04945752078841E7,20494.5752078841,0.0,343661.6504223378,2.0817742283098552E7,1.016785205479452
282120090000064,2023-05-05,2023-06-05,2.04945752078841E7,20494.5752078841,0.0,398582.6705523495,2.0872663303228565E7,1.0194676712328767
282120090000064,2023-06-05,2023-07-05,2.04945752078841E7,20494.5752078841,0.0,451647.0000825183,2.0925727632758733E7,1.0220594520547945
282120090000064,2023-07-05,2023-08-05,2.04945752078841E7,20494.5752078841,0.0,507050.4232082574,2.0981131055884473E7,1.0247654794520549
282120090000064,2023-08-05,2023-09-05,2.04945752078841E7,20494.5752078841,0.0,564192.7408534813,2.1038273373529695E7,1.0275564383561644
282120090000064,2023-09-05,2023-10-05,2.04945752078841E7,20494.5752078841,0.0,621127.513023801,2.1095208145700015E7,1.0303372602739727
282120090000064,2023-10-05,2023-11-05,2.1095208145700015E7,21095.208145700017,0.0,61523.742278080426,2.1135636679832395E7,1.002919398907104
282120090000064,2023-11-05,2023-12-05,2.1095208145700015E7,21095.208145700017,0.0,120859.4619014402,2.1194972399455756E7,1.0057349726775957
282120090000064,2023-12-05,2024-01-05,2.1095208145700015E7,21095.208145700017,0.0,182849.59848223298,2.1256962536036547E7,1.0086765027322404
282120090000064,2024-01-05,2024-02-05,2.1095208145700015E7,21095.208145700017,0.0,246296.49751472365,2.132040943506904E7,1.0116871584699454
282120090000064,2024-02-05,2024-03-05,2.1095208145700015E7,21095.208145700017,0.0,303945.13651220786,2.1378058074066523E7,1.0144226775956284
282120090000064,2024-03-05,2024-04-05,2.1095208145700015E7,21095.208145700017,0.0,350958.8338168889,2.1425071771371204E7,1.0166535519125683
282120090000064,2024-04-05,2024-05-05,2.1095208145700015E7,21095.208145700017,0.0,399469.5992537436,2.147358253680806E7,1.0189554644808743
282120090000064,2024-05-05,2024-06-05,2.1095208145700015E7,21095.208145700017,0.0,449304.6941921409,2.1523417631746456E7,1.021320218579235
282120090000064,2024-06-05,2024-07-05,2.1095208145700015E7,21095.208145700017,0.0,496836.60738872876,2.1570949544943042E7,1.0235756830601093
282120090000064,2024-07-05,2024-08-05,2.1095208145700015E7,21095.208145700017,0.0,545957.715987165,2.162007065354148E7,1.0259065573770492
282120090000064,2024-08-05,2024-09-05,2.1095208145700015E7,21095.208145700017,0.0,594186.3416606522,2.1668299279214967E7,1.0281950819672132
282120090000064,2024-09-05,2024-10-05,2.1095208145700015E7,21095.208145700017,0.0,640077.2378661972,2.171419017542051E7,1.0303726775956283
282120090000064,2024-10-05,2024-11-05,2.171419017542051E7,21714.190175420514,0.0,48638.691359794444,2.1741114676604886E7,1.002242191780822
282120090000064,2024-11-05,2024-12-05,2.171419017542051E7,21714.190175420514,0.0,95648.96123466763,2.1788124946479756E7,1.0044093150684932
282120090000064,2024-12-05,2025-01-05,2.171419017542051E7,21714.190175420514,0.0,143622.0204546415,2.183609800569973E7,1.0066208219178083
282120090000064,2025-01-05,2025-02-05,2.171419017542051E7,21714.190175420514,0.0,189485.26351714137,2.188196124876223E7,1.0087350684931506
282120090000064,2025-02-05,2025-03-05,2.171419017542051E7,21714.190175420514,0.0,228228.61994120028,2.192070460518629E7,1.010521095890411
282120090000064,2025-03-05,2025-04-05,2.171419017542051E7,21714.190175420514,0.0,271060.8595098726,2.1963536844754964E7,1.012495616438356
282120090000064,2025-04-05,2025-05-05,2.171419017542051E7,21714.190175420514,0.0,312662.8682487013,2.200513885349379E7,1.0144134246575343
282120090000064,2025-05-05,2025-06-05,2.171419017542051E7,21714.190175420514,0.0,354027.1512233049,2.2046503136468396E7,1.0163202739726027
282120090000064,2025-06-05,2025-07-05,2.171419017542051E7,21714.190175420514,0.0,393341.0494814944,2.2085817034726586E7,1.018132602739726
282120090000064,2025-07-05,2025-08-05,2.171419017542051E7,21714.190175420514,0.0,432613.3457309463,2.2125089330976035E7,1.01994301369863
282120090000064,2025-08-05,2025-09-05,2.171419017542051E7,21714.190175420514,0.0,471980.73228608817,2.216445671753118E7,1.021757808219178
282120090000064,2025-09-05,2025-10-05,2.171419017542051E7,21714.190175420514,0.0,509481.9715920886,2.2201957956837177E7,1.0234865753424658
282120090000064,2025-10-05,2025-10-31,2.2201957956837177E7,22201.957956837177,0.0,31914.542056470713,2.2211670540936813E7,1.001438904109589
282120090000065,2019-10-05,2019-11-05,1.9352212143823836E7,19352.21214382384,0.0,33436.33971790424,1.936629627139792E7,1.0017295081967212
282120090000065,2019-11-05,2019-12-05,1.9352212143823836E7,19352.21214382384,0.0,65129.55272065796,1.939798948440067E7,1.0033688524590163
282120090000065,2019-12-05,2020-01-05,1.9352212143823836E7,19352.21214382384,0.0,97879.2061568391,1.943073913783685E7,1.0050628415300547
282120090000065,2020-01-05,2020-02-05,1.9352212143823836E7,19352.21214382384,0.0,130628.85959302024,1.946348879127303E7,1.006756830601093
282120090000065,2020-02-05,2020-03-05,1.9352212143823836E7,19352.21214382384,0.0,161265.63216234653,1.949412556384236E7,1.0083415300546448
282120090000065,2020-03-05,2020-04-05,1.9352212143823836E7,19352.21214382384,0.0,194015.2855985277,1.952687521727854E7,1.0100355191256831
282120090000065,2020-04-05,2020-05-05,1.9352212143823836E7,19352.21214382384,0.0,225708.4986012814,1.9558568430281293E7,1.0116748633879782
282120090000065,2020-05-05,2020-06-05,1.9352212143823836E7,19352.21214382384,0.0,258458.15203745826,1.959131808371747E7,1.0133688524590163
282120090000065,2020-06-05,2020-07-05,1.9352212143823836E7,19352.21214382384,0.0,290151.365040212,1.9623011296720225E7,1.0150081967213114
282120090000065,2020-07-05,2020-08-05,1.9352212143823836E7,19352.21214382384,0.0,322901.01847639313,1.9655760950156406E7,1.0167021857923497
282120090000065,2020-08-05,2020-09-05,1.9352212143823836E7,19352.21214382384,0.0,355650.67191257427,1.9688510603592586E7,1.018396174863388
282120090000065,2020-09-05,2020-10-05,1.9352212143823836E7,19352.21214382384,0.0,387343.884915328,1.9720203816595342E7,1.0200355191256831
282120090000065,2020-10-05,2020-11-05,1.9720203816595342E7,19720.20381659534,0.0,33463.83517787162,1.9733947447956618E7,1.0016986301369863
282120090000065,2020-11-05,2020-12-05,1.9720203816595342E7,19720.20381659534,0.0,65848.19180161692,1.976633180458036E7,1.0033424657534247
282120090000065,2020-12-05,2021-01-05,1.9720203816595342E7,19720.20381659534,0.0,99312.02697948854,1.9799795639758233E7,1.005041095890411
282120090000065,2021-01-05,2021-02-05,1.9720203816595342E7,19720.20381659534,0.0,132775.86215736016,1.9833259474936105E7,1.0067397260273974
282120090000065,2021-02-05,2021-03-05,1.9720203816595342E7,19720.20381659534,0.0,163001.26167285285,1.98634848744516E7,1.0082739726027397
282120090000065,2021-03-05,2021-04-05,1.9720203816595342E7,19720.20381659534,0.0,196465.09685072448,1.989694870962947E7,1.009972602739726
282120090000065,2021-04-05,2021-05-05,1.9720203816595342E7,19720.20381659534,0.0,228849.4534744698,1.9929333066253215E7,1.0116164383561643
282120090000065,2021-05-05,2021-06-05,1.9720203816595342E7,19720.20381659534,0.0,262313.2886523414,1.9962796901431087E7,1.0133150684931507
282120090000065,2021-06-05,2021-07-05,1.9720203816595342E7,19720.20381659534,0.0,294697.6452760867,1.9995181258054834E7,1.014958904109589
282120090000065,2021-07-05,2021-08-05,1.9720203816595342E7,19720.20381659534,0.0,328161.4804539583,2.0028645093232702E7,1.0166575342465753
282120090000065,2021-08-05,2021-09-05,1.9720203816595342E7,19720.20381659534,0.0,361625.31563182996,2.0062108928410575E7,1.0183561643835617
282120090000065,2021-09-05,2021-10-05,1.9720203816595342E7,19720.20381659534,0.0,394009.67225557525,2.009449328503432E7,1.02
282120090000065,2021-10-05,2021-11-05,2.009449328503432E7,20094.49328503432,0.0,34098.97876954762,2.0108497770518836E7,1.0016986301369863
282120090000065,2021-11-05,2021-12-05,2.009449328503432E7,20094.49328503432,0.0,67097.99048201162,2.0141496782231297E7,1.0033424657534247
282120090000065,2021-12-05,2022-01-05,2.009449328503432E7,20094.49328503432,0.0,101196.96925155925,2.0175595761000846E7,1.005041095890411
282120090000065,2022-01-05,2022-02-05,2.009449328503432E7,20094.49328503432,0.0,135295.94802110686,2.0209694739770394E7,1.0067397260273974
282120090000065,2022-02-05,2022-03-05,2.009449328503432E7,20094.49328503432,0.0,166095.02561940363,2.024049381736869E7,1.0082739726027397
282120090000065,2022-03-05,2022-04-05,2.009449328503432E7,20094.49328503432,0.0,200194.00438895123,2.027459279613824E7,1.009972602739726
282120090000065,2022-04-05,2022-05-05,2.009449328503432E7,20094.49328503432,0.0,233193.01610141524,2.0307591807850704E7,1.0116164383561643
282120090000065,2022-05-05,2022-06-05,2.009449328503432E7,20094.49328503432,0.0,267401.9915766703,2.034180078332596E7,1.0133205479452054
282120090000065,2022-06-05,2022-07-05,2.009449328503432E7,20094.49328503432,0.0,301418.47281693737,2.0375817264566224E7,1.0150150684931507
282120090000065,2022-07-05,2022-08-05,2.009449328503432E7,20094.49328503432,0.0,338938.3491340087,2.0413337140883297E7,1.016884109589041
282120090000065,2022-08-05,2022-09-05,2.009449328503432E7,20094.49328503432,0.0,379422.63666991686,2.0453821428419203E7,1.0189008219178082
282120090000065,2022-09-05,2022-10-05,2.009449328503432E7,20094.49328503432,0.0,420176.416134811,2.04945752078841E7,1.0209309589041096
